LOCA_ID,GEOL_TOP,GEOL_BASE,GEOL_DESC,litoCode
O572,0.0,1.6,Nadklad,3
O461,0.0,5.9,Zwir,1
O551,0.0,12.3,Piasek,1
O125,0.0,16.7,Piasek,1
O220,0.0,15.8,Zwir,1
O335,0.0,19.0,Piasek,1
O338,0.0,7.5,Zwir,1
O357,0.0,6.1,Piasek,1
O357,42.9,44.4,Piasek,1
O365,0.0,4.3,Piasek,1
O468,0.0,22.6,Piasek,1
O491,0.0,9.0,Piasek,1
O574,0.0,11.3,Zwir,1
O5,0.0,19.1,Piasek,1
O5,46.0,50.2,Piasek,1
O27,0.0,23.0,Piasek,1
O35,0.0,16.4,Piasek,1
O70,0.0,10.4,Piasek,1
O72,0.0,6.5,Piasek,1
O127,0.0,18.1,Piasek,1
O137,0.0,20.8,Piasek,1
O153,0.0,22.1,Piasek,1
O156,0.0,2.5,Piasek,1
O182,0.0,16.8,Piasek,1
O191,0.0,10.3,Piasek,1
O200,0.0,16.5,Zwir,1
O203,0.0,13.0,Piasek,1
O252,0.0,9.9,Piasek,1
O258,0.0,17.9,Piasek,1
O267,0.0,13.4,Piasek,1
O271,0.0,17.4,Piasek,1
O304,0.0,22.1,Piasek,1
O308,0.0,4.1,Piasek,1
O323,0.0,15.0,Piasek,1
O323,73.5,75.0,Piasek,1
O328,0.0,11.4,Piasek,1
O350,0.0,17.4,Piasek,1
O352,0.0,14.9,Piasek,1
O354,0.0,17.4,Zwir,1
O373,0.0,10.5,Piasek,1
O382,0.0,4.2,Zwir,1
O382,67.6,75.1,Zwir,1
O383,0.0,12.5,Zwir,1
O384,0.0,3.7,Zwir,1
O384,62.8,64.3,Piasek,1
O385,0.0,7.3,Piasek,1
O413,0.0,8.0,Piasek,1
O435,0.0,14.3,Piasek,1
O435,80.0,86.5,Piasek,1
O497,0.0,8.1,Piasek,1
O498,0.0,28.5,Piasek,1
O512,0.0,9.0,Zwir,1
O515,0.0,19.5,Piasek,1
O529,0.0,5.2,Zwir,1
O537,0.0,6.5,Piasek,1
O546,0.0,5.7,Piasek,1
O584,0.0,5.5,Piasek,1
O133,0.0,22.7,Piasek,1
O63,0.0,21.5,Piasek,1
O396,0.0,8.0,Zwir,1
O103,0.0,2.2,Piasek,1
O375,0.0,4.6,Piasek,1
O439,0.0,5.7,Piasek,1
O547,0.0,4.8,Piasek,1
O331,0.0,6.6,Zwir,1
O14,0.0,4.6,Piasek,1
O22,63.3,64.0,Piasek,1
O23,0.0,23.6,Zwir,1
O31,0.0,18.7,Piasek,1
O40,0.0,10.5,Piasek,1
O40,45.0,58.0,Piasek,1
O126,0.0,5.6,Piasek,1
O126,58.0,58.8,Piasek,1
O136,0.0,22.0,Piasek,1
O136,56.0,61.0,Zwir,1
O163,59.3,63.0,Zwir,1
O164,37.3,40.2,Zwir,1
O186,0.0,20.0,Piasek,1
O202,0.0,15.2,Piasek,1
O202,80.5,81.4,Piasek,1
O205,46.0,48.0,Piasek,1
O232,33.6,40.6,Zwir,1
O255,46.7,48.4,Piasek,1
O261,47.2,48.8,Piasek,1
O269,0.0,17.7,Piasek,1
O269,70.8,73.3,Piasek,1
O376,0.0,6.7,Piasek,1
O406,0.0,8.2,Zwir,1
O406,59.2,61.1,Zwir,1
O480,38.3,41.0,Zwir,1
O520,0.0,10.0,Zwir,1
O597,32.2,38.0,Zwir,1
O601,0.0,17.0,Zwir,1
O601,45.4,52.4,Piasek,1
O89,0.0,8.6,Piasek,1
O256,0.0,13.5,Piasek,1
O256,75.6,78.6,Zwir,1
O272,0.0,20.1,Piasek,1
O371,0.0,20.0,Piasek,1
O492,0.0,12.0,Piasek,1
O540,0.0,21.0,Piasek,1
O530,0.0,16.0,Piasek,1
O188,0.0,17.6,Piasek,1
O192,0.0,3.0,Piasek,1
O229,0.0,12.2,Piasek,1
O476,0.0,6.8,Zwir,1
O581,0.0,7.4,Zwir,1
O578,0.0,7.9,Zwir,1
O578,37.2,38.5,Piasek,1
O80,0.0,16.3,Piasek,1
O117,0.0,16.2,Zwir,1
O316,0.0,13.2,Piasek,1
O427,0.0,20.8,Piasek,1
O427,45.7,49.6,Zwir,1
O511,0.0,19.5,Piasek,1
O542,0.0,3.6,Piasek,1
O260,0.0,14.5,Zwir,1
O343,0.0,6.7,Piasek,1
O451,0.0,5.8,Zwir,1
O596,0.0,7.2,Piasek,1
O2,0.0,6.6,Zwir,1
O9,59.5,62.2,Zwir,1
O10,0.0,14.2,Piasek,1
O10,36.0,38.5,Zwir,1
O17,0.0,19.1,Piasek,1
O123,0.0,18.0,Piasek,1
O190,0.0,5.0,Piasek,1
O214,0.0,19.6,Piasek,1
O278,0.0,15.6,Piasek,1
O390,0.0,4.2,Piasek,1
O420,0.0,6.0,Zwir,1
O465,0.0,16.5,Piasek,1
O479,0.0,16.1,Piasek,1
O485,0.0,21.6,Piasek,1
O488,0.0,4.8,Piasek,1
O538,44.8,50.0,Zwir,1
O548,0.0,11.6,Piasek,1
O569,0.0,2.4,Piasek,1
O469,0.0,2.3,Piasek,1
O362,0.0,5.0,Zwir,1
O16,0.0,9.1,Piasek,1
O20,0.0,3.6,Piasek,1
O56,0.0,8.0,Piasek,1
O455,0.0,6.0,Zwir,1
O493,0.0,17.3,Piasek,1
O535,0.0,22.8,Piasek,1
O378,0.0,7.6,Piasek,1
O99,0.0,13.5,Piasek,1
O1,0.0,15.1,Piasek,1
O3,0.0,13.6,Piasek,1
O15,0.0,19.1,Piasek,1
O19,0.0,21.0,Piasek,1
O21,0.0,23.8,Zwir,1
O28,0.0,12.7,Zwir,1
O29,0.0,20.2,Piasek,1
O30,0.0,6.2,Piasek,1
O33,0.0,17.6,Zwir,1
O33,79.8,81.0,Zwir,1
O38,0.0,14.0,Zwir,1
O41,0.0,3.5,Zwir,1
O42,0.0,12.7,Piasek,1
O42,84.3,85.0,Zwir,1
O45,0.0,12.5,Piasek,1
O45,80.0,82.0,Piasek,1
O46,0.0,6.6,Piasek,1
O51,0.0,2.2,Piasek,1
O53,0.0,18.0,Piasek,1
O55,0.0,21.6,Zwir,1
O57,0.0,21.3,Zwir,1
O58,0.0,5.0,Zwir,1
O59,0.0,20.1,Piasek,1
O61,0.0,13.2,Piasek,1
O62,0.0,3.0,Zwir,1
O62,67.9,70.5,Zwir,1
O65,0.0,21.2,Piasek,1
O67,0.0,22.6,Piasek,1
O68,0.0,10.2,Piasek,1
O69,0.0,21.6,Piasek,1
O71,0.0,19.3,Piasek,1
O74,0.0,3.3,Zwir,1
O76,0.0,3.0,Piasek,1
O77,0.0,7.4,Piasek,1
O79,0.0,6.2,Piasek,1
O87,26.8,27.0,Zwir,1
O92,0.0,27.1,Zwir,1
O96,0.0,22.2,Piasek,1
O108,0.0,4.7,Piasek,1
O108,67.9,72.3,Zwir,1
O110,0.0,20.2,Piasek,1
O112,0.0,20.4,Piasek,1
O114,0.0,21.7,Piasek,1
O116,0.0,24.5,Piasek,1
O116,86.8,87.5,Zwir,1
O118,0.0,20.5,Piasek,1
O119,0.0,22.3,Piasek,1
O120,0.0,9.7,Piasek,1
O121,0.0,16.4,Piasek,1
O122,57.9,58.1,Zwir,1
O124,0.0,6.0,Piasek,1
O124,59.7,61.0,Piasek,1
O129,0.0,16.3,Zwir,1
O134,0.0,19.8,Piasek,1
O135,0.0,8.8,Piasek,1
O138,0.0,23.0,Piasek,1
O139,0.0,14.3,Piasek,1
O141,0.0,14.2,Zwir,1
O142,0.0,18.0,Piasek,1
O144,0.0,18.3,Piasek,1
O148,0.0,5.0,Zwir,1
O150,0.0,6.9,Zwir,1
O151,0.0,3.9,Zwir,1
O152,0.0,12.2,Piasek,1
O155,0.0,19.6,Piasek,1
O157,0.0,19.8,Piasek,1
O167,51.4,52.3,Piasek,1
O169,0.0,6.2,Zwir,1
O169,56.9,58.5,Zwir,1
O171,0.0,8.0,Zwir,1
O173,0.0,3.0,Zwir,1
O178,69.8,70.7,Zwir,1
O180,0.0,6.3,Piasek,1
O184,0.0,15.0,Piasek,1
O187,14.2,15.2,Zwir,1
O189,0.0,30.1,Piasek,1
O189,72.5,73.5,Piasek,1
O195,0.0,18.8,Zwir,1
O195,52.0,52.5,Piasek,1
O198,0.0,17.7,Zwir,1
O198,75.8,76.4,Piasek,1
O199,0.0,18.4,Piasek,1
O210,0.0,15.3,Piasek,1
O210,45.3,46.0,Piasek,1
O211,0.0,22.3,Zwir,1
O212,0.0,18.6,Piasek,1
O217,0.0,17.1,Piasek,1
O219,0.0,7.9,Piasek,1
O223,0.0,7.6,Piasek,1
O223,37.2,38.0,Piasek,1
O225,0.0,7.2,Piasek,1
O226,0.0,4.6,Piasek,1
O240,0.0,3.0,Piasek,1
O241,0.0,12.5,Piasek,1
O246,0.0,20.1,Zwir,1
O248,0.0,20.0,Piasek,1
O250,0.0,8.0,Piasek,1
O251,0.0,18.3,Piasek,1
O253,0.0,11.5,Piasek,1
O262,0.0,17.5,Piasek,1
O262,76.2,77.2,Piasek,1
O265,0.0,13.7,Piasek,1
O265,76.4,77.0,Piasek,1
O273,0.0,5.2,Piasek,1
O274,0.0,11.2,Piasek,1
O274,63.7,64.1,Piasek,1
O275,0.0,3.0,Piasek,1
O276,0.0,19.8,Zwir,1
O277,0.0,10.5,Piasek,1
O282,0.0,16.4,Piasek,1
O284,0.0,7.5,Piasek,1
