LOCA_ID,LOCA_NATE,LOCA_NATN,LOCA_GL
O1,8522.7538,6663.75,178.21
O2,8192.466,5386.66,181.91
O3,6149.0277,6540.72,178.61
O4,5691.2314,6274.47,177.69
O5,7617.4233,6694.07,178.55
O6,5749.8916,5278.58,173.85
O7,5857.4457,5280.41,176.67
O8,5040.5201,6399.54,173.02
O9,5952.7153,5275.5,176.84
O10,4955.5003,3622.86,182.31
O11,6046.7962,5277.39,177.14
O12,5767.6818,3781.8,181.19
O13,6145.7654,5274.85,178.4
O14,6254.585,5266.87,178.59
O15,6396.7869,6329.27,176.69
O16,6340.6675,5258.92,178.4
O17,6497.342,6326.36,177.31
O18,6464.8355,5246.62,178.01
O19,6595.435,6319.84,177.9
O20,6554.5648,5248.51,178.69
O21,6800.6416,6318.62,180.18
O22,6533.6694,5056.65,178.64
O23,6902.0034,6317.38,180.13
O24,5799.5875,6265.49,177.06
O25,7814.569,6683.94,178.4
O26,6500.5042,5121.23,178.61
O27,7013.1464,6310.81,180.36
O28,6327.1552,5180.87,178.51
O29,7203.2721,6296.47,180.32
O30,6147.6365,5144.61,176.81
O31,7302.6027,6292.04,180.6
O32,5539.0388,5188.15,175.86
O33,7478.7455,6300.15,179.77
O34,5439.4663,5188.83,175.96
O35,7692.5481,6361.11,179.34
O36,5340.4309,5194.95,176.48
O37,5238.3829,5198.02,177.72
O38,7885.9011,6316.56,180.22
O39,5135.7476,5199.88,178.1
O40,8076.7838,6284.65,180.95
O41,5033.6878,5202.39,178.55
O42,8279.9446,6272.85,181.34
O43,5031.2216,5090.5,178.96
O44,5902.567,6257.73,176.54
O45,7915.7602,6678.27,178.25
O46,5129.0128,5091.74,178.44
O47,5228.5517,5095.96,178.59
O48,5328.1322,5092.27,177.81
O49,5430.792,5094.75,176.55
O50,5528.5486,5091.11,175.87
O51,5629.4179,5088.63,175.92
O52,5732.0232,5098.46,175.03
O53,7269.0885,6199.6,180.3
O54,5819.9642,5078.79,174.83
O55,7164.8209,6202.91,180.13
O56,5919.5463,5091.69,175.55
O57,7061.7878,6208.19,180.43
O58,6050.5101,5088.58,176.26
O59,6978.465,6209.83,179.63
O60,6003.5366,6251.14,176.14
O61,8019.2445,6674.88,178.35
O62,6238.0228,5087.94,177.69
O63,6860.7062,6218.87,178.93
O64,6337.0014,5059.14,178.99
O65,6758.0962,6217.59,178.53
O66,6419.9569,4959.57,179.06
O67,6665.334,6227.45,177.78
O68,6315.4651,4960.11,179.16
O69,6558.2239,6229.04,177.04
O70,6218.3549,4971.18,178.21
O71,6456.4747,6231.97,176.63
O72,6121.7804,4981.02,177.14
O73,6033.9165,4977.98,176.07
O74,5915.8744,4981.6,175.25
O75,5821.1968,4981.61,174.75
O76,5019.0535,6304.74,173.74
O77,5723.4704,4983.47,175.03
O78,8651.8769,5866.08,180.84
O79,6106.1659,6243.39,175.94
O80,8225.5873,6665.02,179.27
O81,5623.892,4993.93,175.63
O82,5521.2186,4990.89,176.74
O83,4543.8827,6346.99,180.21
O84,5421.622,4993.91,177.03
O85,5320.7768,4997.62,178.03
O86,4234.9854,6293.78,190.06
O87,5221.2124,4998.85,178.8
O88,5119.1605,5001.93,178.53
O89,4428.3226,6262.45,185.41
O90,5017.7316,5001.32,180.11
O91,4530.3423,6249.24,181.73
O92,4807.503,4924.81,180.79
O93,4720.8251,6231.9,178.42
O94,4911.9593,4919.23,180.41
O95,4822.1995,6221.27,176.42
O96,8664.9718,6074.8,180.41
O97,6298.6923,6339.02,176.88
O98,6308.4849,6231.54,176.33
O99,8319.5766,6660.51,179.07
O100,5012.7798,4914.29,179.42
O101,4893.3329,6213.96,175.42
O102,5114.2341,4909.44,178.43
O103,4996.3567,6204.96,174.47
O104,5215.0143,4902.62,178.14
O105,5315.8375,4897.79,177.86
O106,6402.0612,6144.09,176.09
O107,5415.4896,4893.99,177.25
O108,6608.0649,6140.41,178.0
O109,5512.5926,4889.14,176.84
O110,6778.1458,6150.17,178.13
O111,5612.1628,4884.79,174.99
O112,6979.2597,6114.22,179.13
O113,5718.5286,4879.86,175.36
O114,7078.173,6106.47,179.13
O115,5808.8625,4876.82,175.06
O116,7280.4865,6097.43,180.25
O117,5910.3555,4873.78,174.97
O118,7383.9521,6092.59,181.01
O119,6703.7261,6317.77,179.45
O120,6020.9956,4865.2,175.51
O121,7556.0216,6103.56,181.22
O122,6115.0555,4865.76,175.05
O123,7654.1451,6098.28,181.52
O124,6212.8023,4861.46,177.1
O125,7845.0059,6088.51,181.86
O126,6317.9361,4854.68,179.34
O127,7961.0698,6088.87,181.78
O128,6427.942,4855.91,179.06
O129,8058.3491,6086.84,181.38
O130,6519.5243,4845.52,179.99
O131,6613.5887,4842.97,179.06
O132,5605.4337,4769.87,176.0
O133,8701.3518,6462.63,179.01
O134,7099.8551,6303.42,180.38
O135,6196.0403,6143.67,175.68
O136,5512.5663,4775.97,176.55
O137,7459.5408,5986.29,182.11
O138,5404.9797,4779.71,177.74
O139,7355.7155,5987.47,181.24
O140,5301.0816,4785.27,177.52
O141,7253.4939,5994.84,180.94
O142,7154.2019,6001.38,180.2
O143,5102.5629,4796.97,178.6
O144,7052.806,6007.96,178.8
O145,5001.7343,4804.91,178.96
O146,6950.1992,6013.68,178.86
O147,4899.07,4812.34,179.64
O148,6851.6887,6020.65,177.64
O149,4802.5533,4818.42,180.08
O150,6747.8805,6025.95,177.54
O151,4686.332,4730.55,177.92
O152,6646.5366,6031.65,177.59
O153,4787.8195,4723.81,179.1
O154,5121.8837,6113.02,173.48
O155,8723.8671,6672.37,176.91
O156,6071.0221,6131.41,175.42
O157,4887.3751,4721.9,178.88
O158,4990.0258,4717.03,178.5
O159,5089.6433,4711.44,178.12
O160,4616.6317,6140.78,179.8
O161,5190.4381,4708.4,177.65
O162,5285.7703,4705.91,177.18
O163,5391.4935,4683.85,176.77
O164,4107.7043,6105.45,191.79
O165,5594.9822,4674.61,176.04
O166,5695.1943,4667.25,176.09
O167,5780.5903,4672.78,175.86
O168,6286.5505,4651.81,175.21
O169,6073.2376,4667.79,178.34
O170,5991.2972,6150.57,175.82
O171,6403.3445,4552.3,178.6
O172,4602.6978,6044.26,179.9
O173,6287.7581,4559.64,177.02
O174,6187.5919,4562.65,176.5
O175,4917.0707,6018.59,176.17
O176,5017.5881,6016.88,176.62
O177,5581.427,4578.64,176.79
O178,6801.4225,5926.23,177.34
O179,5467.6986,4594.09,177.22
O180,6892.5606,5912.29,179.09
O181,5368.7257,4597.09,177.67
O182,7148.0775,5906.92,180.05
O183,5286.3465,4611.31,177.82
O184,7257.5811,5902.06,179.89
O185,5182.4605,4614.31,177.42
O186,7461.9649,5890.98,181.81
O187,5838.8343,6451.38,180.01
O188,8503.5146,6463.51,180.11
O189,6888.8509,6715.6,180.29
O190,6106.1557,6358.68,177.99
O191,6491.558,6739.78,181.53
O192,7984.3689,6297.7,179.67
O193,5893.1777,6146.09,176.2
O194,5084.1134,4613.74,177.87
O195,7565.4131,5891.82,182.01
O196,4982.6853,4616.81,177.92
O197,4880.6521,4621.11,179.02
O198,7835.1887,5893.86,180.75
O199,4782.2815,4626.0,179.12
O200,7939.0156,5892.7,180.8
O201,4699.3001,4628.45,179.23
O202,8041.6316,5890.67,181.0
O203,4669.7654,4534.38,179.71
O204,4768.7572,4528.92,179.12
O205,4871.3798,4525.83,178.66
O206,4969.7701,4518.49,178.22
O207,5075.4797,4515.33,177.79
O208,5196.5095,6301.72,173.05
O209,5775.4452,6149.82,176.57
O210,7912.4142,6575.07,179.18
O211,5173.2651,4509.24,177.68
O212,7396.5755,5787.64,179.77
O213,5271.5798,4504.91,177.59
